ccyy-mm,time,si
2015-11,11:29:55,2.39900000000000000000
2015-11,11:29:56,2.53080000000000000000
2015-11,11:29:57,2.68930000000000000000
2015-11,11:29:58,2.75580000000000000000
2015-11,11:29:59,2.90450000000000000000
2015-11,11:30:00,3.05060000000000000000
2015-12,11:29:00,0.00240000000000000000
2015-12,11:29:01,0.02160000000000000000
2015-12,11:29:02,0.02980000000000000000
2015-12,11:29:03,0.03640000000000000000
2015-12,11:29:04,0.04410000000000000000
2015-12,11:29:05,0.04360000000000000000
2015-12,11:29:06,0.07780000000000000000
2015-12,11:29:07,0.09480000000000000000
2015-12,11:29:08,0.13100000000000000000
2015-12,11:29:09,0.19640000000000000000
2015-12,11:29:10,0.23200000000000000000
2015-12,11:29:11,0.28960000000000000000
2015-12,11:29:12,0.33960000000000000000
2015-12,11:29:13,0.35680000000000000000
2015-12,11:29:14,0.37560000000000000000
2015-12,11:29:15,0.40490000000000000000
2015-12,11:29:16,0.42480000000000000000
2015-12,11:29:17,0.46450000000000000000
2015-12,11:29:18,0.49310000000000000000
2015-12,11:29:19,0.51290000000000000000
2015-12,11:29:20,0.53430000000000000000
2015-12,11:29:21,0.57170000000000000000
2015-12,11:29:22,0.58230000000000000000
2015-12,11:29:23,0.59330000000000000000
2015-12,11:29:24,0.62150000000000000000
2015-12,11:29:25,0.66130000000000000000
2015-12,11:29:26,0.67780000000000000000
2015-12,11:29:27,0.69740000000000000000
2015-12,11:29:28,0.72060000000000000000
2015-12,11:29:29,0.73460000000000000000
2015-12,11:29:30,0.77630000000000000000
2015-12,11:29:31,0.79810000000000000000
2015-12,11:29:32,0.82330000000000000000
2015-12,11:29:33,0.84340000000000000000
2015-12,11:29:34,0.87430000000000000000
2015-12,11:29:35,0.92690000000000000000
2015-12,11:29:36,0.95820000000000000000
2015-12,11:29:37,0.98150000000000000000
2015-12,11:29:38,0.99660000000000000000
2015-12,11:29:39,1.03430000000000000000
2015-12,11:29:40,1.07660000000000000000
2015-12,11:29:41,1.11290000000000000000
2015-12,11:29:42,1.17030000000000000000
2015-12,11:29:43,1.28530000000000000000
2015-12,11:29:44,1.39550000000000000000
2015-12,11:29:45,1.45400000000000000000
2015-12,11:29:46,1.58020000000000000000
2015-12,11:29:47,1.64950000000000000000
2015-12,11:29:48,1.75250000000000000000
2015-12,11:29:49,1.79100000000000000000
2015-12,11:29:50,1.92840000000000000000
2015-12,11:29:51,1.99380000000000000000
2015-12,11:29:52,2.05590000000000000000
2015-12,11:29:53,2.16360000000000000000
2015-12,11:29:54,2.28080000000000000000
2015-12,11:29:55,2.39900000000000000000
2015-12,11:29:56,2.53080000000000000000
2015-12,11:29:57,2.68930000000000000000
2015-12,11:29:58,2.75580000000000000000
2015-12,11:29:59,2.90450000000000000000
2015-12,11:30:00,3.05060000000000000000
2016-01,11:29:00,0.00240000000000000000
2016-01,11:29:01,0.02160000000000000000
2016-01,11:29:02,0.02980000000000000000
2016-01,11:29:03,0.03640000000000000000
2016-01,11:29:04,0.04410000000000000000
2016-01,11:29:05,0.04360000000000000000
2016-01,11:29:06,0.07780000000000000000
2016-01,11:29:07,0.09480000000000000000
2016-01,11:29:08,0.13100000000000000000
2016-01,11:29:09,0.19640000000000000000
2016-01,11:29:10,0.23200000000000000000
2016-01,11:29:11,0.28960000000000000000
2016-01,11:29:12,0.33960000000000000000
2016-01,11:29:13,0.35680000000000000000
2016-01,11:29:14,0.37560000000000000000
2016-01,11:29:15,0.40490000000000000000
2016-01,11:29:16,0.42480000000000000000
2016-01,11:29:17,0.46450000000000000000
2016-01,11:29:18,0.49310000000000000000
2016-01,11:29:19,0.51290000000000000000
2016-01,11:29:20,0.53430000000000000000
2016-01,11:29:21,0.57170000000000000000
2016-01,11:29:22,0.58230000000000000000
2016-01,11:29:23,0.59330000000000000000
2016-01,11:29:24,0.62150000000000000000
2016-01,11:29:25,0.66130000000000000000
2016-01,11:29:26,0.67780000000000000000
2016-01,11:29:27,0.69740000000000000000
2016-01,11:29:28,0.72060000000000000000
2016-01,11:29:29,0.73460000000000000000
2016-01,11:29:30,0.77630000000000000000
2016-01,11:29:31,0.79810000000000000000
2016-01,11:29:32,0.82330000000000000000
2016-01,11:29:33,0.84340000000000000000
2016-01,11:29:34,0.87430000000000000000
2016-01,11:29:35,0.92690000000000000000
2016-01,11:29:36,0.95820000000000000000
2016-01,11:29:37,0.98150000000000000000
2016-01,11:29:38,0.99660000000000000000
2016-01,11:29:39,1.03430000000000000000
2016-01,11:29:40,1.07660000000000000000
2016-01,11:29:41,1.11290000000000000000
2016-01,11:29:42,1.17030000000000000000
2016-01,11:29:43,1.28530000000000000000
2016-01,11:29:44,1.39550000000000000000
2016-01,11:29:45,1.45400000000000000000
2016-01,11:29:46,1.58020000000000000000
2016-01,11:29:47,1.64950000000000000000
2016-01,11:29:48,1.75250000000000000000
2016-01,11:29:49,1.79100000000000000000
2016-01,11:29:50,1.92840000000000000000
2016-01,11:29:51,1.99380000000000000000
2016-01,11:29:52,2.05590000000000000000
2016-01,11:29:53,2.16360000000000000000
2016-01,11:29:54,2.28080000000000000000
2016-01,11:29:55,2.39900000000000000000
2016-01,11:29:56,2.53080000000000000000
2016-01,11:29:57,2.68930000000000000000
2016-01,11:29:58,2.75580000000000000000
2016-01,11:29:59,2.90450000000000000000
2016-01,11:30:00,3.05060000000000000000
2016-02,11:29:00,0.00240000000000000000
2016-02,11:29:01,0.02160000000000000000
2016-02,11:29:02,0.02980000000000000000
2016-02,11:29:03,0.03640000000000000000
2016-02,11:29:04,0.04410000000000000000
2016-02,11:29:05,0.04360000000000000000
2016-02,11:29:06,0.07780000000000000000
2016-02,11:29:07,0.09480000000000000000
2016-02,11:29:08,0.13100000000000000000
2016-02,11:29:09,0.19640000000000000000
2016-02,11:29:10,0.23200000000000000000
2016-02,11:29:11,0.28960000000000000000
2016-02,11:29:12,0.33960000000000000000
2016-02,11:29:13,0.35680000000000000000
2016-02,11:29:14,0.37560000000000000000
2016-02,11:29:15,0.40490000000000000000
2016-02,11:29:16,0.42480000000000000000
2016-02,11:29:17,0.46450000000000000000
2016-02,11:29:18,0.49310000000000000000
2016-02,11:29:19,0.51290000000000000000
2016-02,11:29:20,0.53430000000000000000
2016-02,11:29:21,0.57170000000000000000
2016-02,11:29:22,0.58230000000000000000
2016-02,11:29:23,0.59330000000000000000
2016-02,11:29:24,0.62150000000000000000
2016-02,11:29:25,0.66130000000000000000
2016-02,11:29:26,0.67780000000000000000
2016-02,11:29:27,0.69740000000000000000
2016-02,11:29:28,0.72060000000000000000
2016-02,11:29:29,0.73460000000000000000
2016-02,11:29:30,0.77630000000000000000
2016-02,11:29:31,0.79810000000000000000
2016-02,11:29:32,0.82330000000000000000
2016-02,11:29:33,0.84340000000000000000
2016-02,11:29:34,0.87430000000000000000
2016-02,11:29:35,0.92690000000000000000
2016-02,11:29:36,0.95820000000000000000
2016-02,11:29:37,0.98150000000000000000
2016-02,11:29:38,0.99660000000000000000
2016-02,11:29:39,1.03430000000000000000
2016-02,11:29:40,1.07660000000000000000
2016-02,11:29:41,1.11290000000000000000
2016-02,11:29:42,1.17030000000000000000
2016-02,11:29:43,1.28530000000000000000
2016-02,11:29:44,1.39550000000000000000
2016-02,11:29:45,1.45400000000000000000
2016-02,11:29:46,1.58020000000000000000
2016-02,11:29:47,1.64950000000000000000
2016-02,11:29:48,1.75250000000000000000
2016-02,11:29:49,1.79100000000000000000
2016-02,11:29:50,1.92840000000000000000
2016-02,11:29:51,1.99380000000000000000
2016-02,11:29:52,2.05590000000000000000
2016-02,11:29:53,2.16360000000000000000
2016-02,11:29:54,2.28080000000000000000
2016-02,11:29:55,2.39900000000000000000
2016-02,11:29:56,2.53080000000000000000
2016-02,11:29:57,2.68930000000000000000
2016-02,11:29:58,2.75580000000000000000
2016-02,11:29:59,2.90450000000000000000
2016-02,11:30:00,3.05060000000000000000
2016-03,11:29:00,0.00240000000000000000
2016-03,11:29:01,0.02160000000000000000
2016-03,11:29:02,0.02980000000000000000
2016-03,11:29:03,0.03640000000000000000
2016-03,11:29:04,0.04410000000000000000
2016-03,11:29:05,0.04360000000000000000
2016-03,11:29:06,0.07780000000000000000
2016-03,11:29:07,0.09480000000000000000
2016-03,11:29:08,0.13100000000000000000
2016-03,11:29:09,0.19640000000000000000
2016-03,11:29:10,0.23200000000000000000
2016-03,11:29:11,0.28960000000000000000
2016-03,11:29:12,0.33960000000000000000
2016-03,11:29:13,0.35680000000000000000
2016-03,11:29:14,0.37560000000000000000
2016-03,11:29:15,0.40490000000000000000
2016-03,11:29:16,0.42480000000000000000
2016-03,11:29:17,0.46450000000000000000
2016-03,11:29:18,0.49310000000000000000
2016-03,11:29:19,0.51290000000000000000
2016-03,11:29:20,0.53430000000000000000
2016-03,11:29:21,0.57170000000000000000
2016-03,11:29:22,0.58230000000000000000
2016-03,11:29:23,0.59330000000000000000
2016-03,11:29:24,0.62150000000000000000
2016-03,11:29:25,0.66130000000000000000
2016-03,11:29:26,0.67780000000000000000
2016-03,11:29:27,0.69740000000000000000
2016-03,11:29:28,0.72060000000000000000
2016-03,11:29:29,0.73460000000000000000
2016-03,11:29:30,0.77630000000000000000
2016-03,11:29:31,0.79810000000000000000
2016-03,11:29:32,0.82330000000000000000
2016-03,11:29:33,0.84340000000000000000
2016-03,11:29:34,0.87430000000000000000
2016-03,11:29:35,0.92690000000000000000
2016-03,11:29:36,0.95820000000000000000
2016-03,11:29:37,0.98150000000000000000
2016-03,11:29:38,0.99660000000000000000
2016-03,11:29:39,1.03430000000000000000
2016-03,11:29:40,1.07660000000000000000
2016-03,11:29:41,1.11290000000000000000
2016-03,11:29:42,1.17030000000000000000
2016-03,11:29:43,1.28530000000000000000
2016-03,11:29:44,1.39550000000000000000
2016-03,11:29:45,1.45400000000000000000
2016-03,11:29:46,1.58020000000000000000
2016-03,11:29:47,1.64950000000000000000
2016-03,11:29:48,1.75250000000000000000
2016-03,11:29:49,1.79100000000000000000
2016-03,11:29:50,1.92840000000000000000
2016-03,11:29:51,1.99380000000000000000
2016-03,11:29:52,2.05590000000000000000
2016-03,11:29:53,2.16360000000000000000
2016-03,11:29:54,2.28080000000000000000
2016-03,11:29:55,2.39900000000000000000
2016-03,11:29:56,2.53080000000000000000
2016-03,11:29:57,2.68930000000000000000
2016-03,11:29:58,2.75580000000000000000
2016-03,11:29:59,2.90450000000000000000
2016-03,11:30:00,3.05060000000000000000
2016-04,11:29:00,0.00240000000000000000
2016-04,11:29:01,0.02160000000000000000
2016-04,11:29:02,0.02980000000000000000
2016-04,11:29:03,0.03640000000000000000
2016-04,11:29:04,0.04410000000000000000
2016-04,11:29:05,0.04360000000000000000
2016-04,11:29:06,0.07780000000000000000
2016-04,11:29:07,0.09480000000000000000
2016-04,11:29:08,0.13100000000000000000
2016-04,11:29:09,0.19640000000000000000
2016-04,11:29:10,0.23200000000000000000
2016-04,11:29:11,0.28960000000000000000
2016-04,11:29:12,0.33960000000000000000
2016-04,11:29:13,0.35680000000000000000
2016-04,11:29:14,0.37560000000000000000
2016-04,11:29:15,0.40490000000000000000
2016-04,11:29:16,0.42480000000000000000
2016-04,11:29:17,0.46450000000000000000
2016-04,11:29:18,0.49310000000000000000
2016-04,11:29:19,0.51290000000000000000
2016-04,11:29:20,0.53430000000000000000
2016-04,11:29:21,0.57170000000000000000
2016-04,11:29:22,0.58230000000000000000
2016-04,11:29:23,0.59330000000000000000
2016-04,11:29:24,0.62150000000000000000
2016-04,11:29:25,0.66130000000000000000
2016-04,11:29:26,0.67780000000000000000
2016-04,11:29:27,0.69740000000000000000
2016-04,11:29:28,0.72060000000000000000
2016-04,11:29:29,0.73460000000000000000
2016-04,11:29:30,0.77630000000000000000
2016-04,11:29:31,0.79810000000000000000
2016-04,11:29:32,0.82330000000000000000
2016-04,11:29:33,0.84340000000000000000
2016-04,11:29:34,0.87430000000000000000
2016-04,11:29:35,0.92690000000000000000
2016-04,11:29:36,0.95820000000000000000
2016-04,11:29:37,0.98150000000000000000
2016-04,11:29:38,0.99660000000000000000
2016-04,11:29:39,1.03430000000000000000
2016-04,11:29:40,1.07660000000000000000
2016-04,11:29:41,1.11290000000000000000
2016-04,11:29:42,1.17030000000000000000
2016-04,11:29:43,1.28530000000000000000
2016-04,11:29:44,1.39550000000000000000
2016-04,11:29:45,1.45400000000000000000
2016-04,11:29:46,1.58020000000000000000
2016-04,11:29:47,1.64950000000000000000
2016-04,11:29:48,1.75250000000000000000
2016-04,11:29:49,1.79100000000000000000
2016-04,11:29:50,1.92840000000000000000
2016-04,11:29:51,1.99380000000000000000
2016-04,11:29:52,2.05590000000000000000
2016-04,11:29:53,2.16360000000000000000
2016-04,11:29:54,2.28080000000000000000
2016-04,11:29:55,2.39900000000000000000
2016-04,11:29:56,2.53080000000000000000
2016-04,11:29:57,2.68930000000000000000
2016-04,11:29:58,2.75580000000000000000
2016-04,11:29:59,2.90450000000000000000
2016-04,11:30:00,3.05060000000000000000
2016-05,11:29:00,0.00240000000000000000
2016-05,11:29:01,0.02160000000000000000
2016-05,11:29:02,0.02980000000000000000
2016-05,11:29:03,0.03640000000000000000
2016-05,11:29:04,0.04410000000000000000
2016-05,11:29:05,0.04360000000000000000
2016-05,11:29:06,0.07780000000000000000
2016-05,11:29:07,0.09480000000000000000
2016-05,11:29:08,0.13100000000000000000
2016-05,11:29:09,0.19640000000000000000
2016-05,11:29:10,0.23200000000000000000
2016-05,11:29:11,0.28960000000000000000
2016-05,11:29:12,0.33960000000000000000
2016-05,11:29:13,0.35680000000000000000
2016-05,11:29:14,0.37560000000000000000
2016-05,11:29:15,0.40490000000000000000
2016-05,11:29:16,0.42480000000000000000
2016-05,11:29:17,0.46450000000000000000
2016-05,11:29:18,0.49310000000000000000
2016-05,11:29:19,0.51290000000000000000
2016-05,11:29:20,0.53430000000000000000
2016-05,11:29:21,0.57170000000000000000
2016-05,11:29:22,0.58230000000000000000
2016-05,11:29:23,0.59330000000000000000
2016-05,11:29:24,0.62150000000000000000
2016-05,11:29:25,0.66130000000000000000
2016-05,11:29:26,0.67780000000000000000
2016-05,11:29:27,0.69740000000000000000
2016-05,11:29:28,0.72060000000000000000
2016-05,11:29:29,0.73460000000000000000
2016-05,11:29:30,0.77630000000000000000
2016-05,11:29:31,0.79810000000000000000
2016-05,11:29:32,0.82330000000000000000
2016-05,11:29:33,0.84340000000000000000
2016-05,11:29:34,0.87430000000000000000
2016-05,11:29:35,0.92690000000000000000
2016-05,11:29:36,0.95820000000000000000
2016-05,11:29:37,0.98150000000000000000
2016-05,11:29:38,0.99660000000000000000
2016-05,11:29:39,1.03430000000000000000
2016-05,11:29:40,1.07660000000000000000
2016-05,11:29:41,1.11290000000000000000
2016-05,11:29:42,1.17030000000000000000
2016-05,11:29:43,1.28530000000000000000
2016-05,11:29:44,1.39550000000000000000
2016-05,11:29:45,1.45400000000000000000
2016-05,11:29:46,1.58020000000000000000
2016-05,11:29:47,1.64950000000000000000
2016-05,11:29:48,1.75250000000000000000
2016-05,11:29:49,1.79100000000000000000
2016-05,11:29:50,1.92840000000000000000
2016-05,11:29:51,1.99380000000000000000
2016-05,11:29:52,2.05590000000000000000
2016-05,11:29:53,2.16360000000000000000
2016-05,11:29:54,2.28080000000000000000
2016-05,11:29:55,2.39900000000000000000
2016-05,11:29:56,2.53080000000000000000
2016-05,11:29:57,2.68930000000000000000
2016-05,11:29:58,2.75580000000000000000
2016-05,11:29:59,2.90450000000000000000
2016-05,11:30:00,3.05060000000000000000
2016-06,11:29:00,0.00240000000000000000
2016-06,11:29:01,0.02160000000000000000
2016-06,11:29:02,0.02980000000000000000
2016-06,11:29:03,0.03640000000000000000
2016-06,11:29:04,0.04410000000000000000
2016-06,11:29:05,0.04360000000000000000
2016-06,11:29:06,0.07780000000000000000
2016-06,11:29:07,0.09480000000000000000
2016-06,11:29:08,0.13100000000000000000
2016-06,11:29:09,0.19640000000000000000
2016-06,11:29:10,0.23200000000000000000
2016-06,11:29:11,0.28960000000000000000
2016-06,11:29:12,0.33960000000000000000
2016-06,11:29:13,0.35680000000000000000
2016-06,11:29:14,0.37560000000000000000
2016-06,11:29:15,0.40490000000000000000
2016-06,11:29:16,0.42480000000000000000
2016-06,11:29:17,0.46450000000000000000
2016-06,11:29:18,0.49310000000000000000
2016-06,11:29:19,0.51290000000000000000
2016-06,11:29:20,0.53430000000000000000
2016-06,11:29:21,0.57170000000000000000
2016-06,11:29:22,0.58230000000000000000
2016-06,11:29:23,0.59330000000000000000
2016-06,11:29:24,0.62150000000000000000
2016-06,11:29:25,0.66130000000000000000
2016-06,11:29:26,0.67780000000000000000
2016-06,11:29:27,0.69740000000000000000
2016-06,11:29:28,0.72060000000000000000
2016-06,11:29:29,0.73460000000000000000
2016-06,11:29:30,0.77630000000000000000
2016-06,11:29:31,0.79810000000000000000
2016-06,11:29:32,0.82330000000000000000
2016-06,11:29:33,0.84340000000000000000
2016-06,11:29:34,0.87430000000000000000
2016-06,11:29:35,0.92690000000000000000
2016-06,11:29:36,0.95820000000000000000
2016-06,11:29:37,0.98150000000000000000
2016-06,11:29:38,0.99660000000000000000
2016-06,11:29:39,1.03430000000000000000
2016-06,11:29:40,1.07660000000000000000
2016-06,11:29:41,1.11290000000000000000
2016-06,11:29:42,1.17030000000000000000
2016-06,11:29:43,1.28530000000000000000
2016-06,11:29:44,1.39550000000000000000
2016-06,11:29:45,1.45400000000000000000
2016-06,11:29:46,1.58020000000000000000
2016-06,11:29:47,1.64950000000000000000
2016-06,11:29:48,1.75250000000000000000
2016-06,11:29:49,1.79100000000000000000
2016-06,11:29:50,1.92840000000000000000
2016-06,11:29:51,1.99380000000000000000
2016-06,11:29:52,2.05590000000000000000
2016-06,11:29:53,2.16360000000000000000
2016-06,11:29:54,2.28080000000000000000
2016-06,11:29:55,2.39900000000000000000
2016-06,11:29:56,2.53080000000000000000
2016-06,11:29:57,2.68930000000000000000
2016-06,11:29:58,2.75580000000000000000
2016-06,11:29:59,2.90450000000000000000
2016-06,11:30:00,3.05060000000000000000
2016-07,11:29:00,0.00240000000000000000
2016-07,11:29:01,0.02160000000000000000
2016-07,11:29:02,0.02980000000000000000
2016-07,11:29:03,0.03640000000000000000
2016-07,11:29:04,0.04410000000000000000
2016-07,11:29:05,0.04360000000000000000
2016-07,11:29:06,0.07780000000000000000
2016-07,11:29:07,0.09480000000000000000
2016-07,11:29:08,0.13100000000000000000
2016-07,11:29:09,0.19640000000000000000
2016-07,11:29:10,0.23200000000000000000
2016-07,11:29:11,0.28960000000000000000
2016-07,11:29:12,0.33960000000000000000
2016-07,11:29:13,0.35680000000000000000
2016-07,11:29:14,0.37560000000000000000
2016-07,11:29:15,0.40490000000000000000
2016-07,11:29:16,0.42480000000000000000
2016-07,11:29:17,0.46450000000000000000
2016-07,11:29:18,0.49310000000000000000
2016-07,11:29:19,0.51290000000000000000
2016-07,11:29:20,0.53430000000000000000
2016-07,11:29:21,0.57170000000000000000
2016-07,11:29:22,0.58230000000000000000
2016-07,11:29:23,0.59330000000000000000
2016-07,11:29:24,0.62150000000000000000
2016-07,11:29:25,0.66130000000000000000
2016-07,11:29:26,0.67780000000000000000
2016-07,11:29:27,0.69740000000000000000
2016-07,11:29:28,0.72060000000000000000
2016-07,11:29:29,0.73460000000000000000
2016-07,11:29:30,0.77630000000000000000
2016-07,11:29:31,0.79810000000000000000
2016-07,11:29:32,0.82330000000000000000
2016-07,11:29:33,0.84340000000000000000
2016-07,11:29:34,0.87430000000000000000
2016-07,11:29:35,0.92690000000000000000
2016-07,11:29:36,0.95820000000000000000
2016-07,11:29:37,0.98150000000000000000
2016-07,11:29:38,0.99660000000000000000
2016-07,11:29:39,1.03430000000000000000
2016-07,11:29:40,1.07660000000000000000
2016-07,11:29:41,1.11290000000000000000
2016-07,11:29:42,1.17030000000000000000
2016-07,11:29:43,1.28530000000000000000
2016-07,11:29:44,1.39550000000000000000
2016-07,11:29:45,1.45400000000000000000
2016-07,11:29:46,1.58020000000000000000
2016-07,11:29:47,1.64950000000000000000
2016-07,11:29:48,1.75250000000000000000
2016-07,11:29:49,1.79100000000000000000
2016-07,11:29:50,1.92840000000000000000
2016-07,11:29:51,1.99380000000000000000
2016-07,11:29:52,2.05590000000000000000
2016-07,11:29:53,2.16360000000000000000
2016-07,11:29:54,2.28080000000000000000
2016-07,11:29:55,2.39900000000000000000
2016-07,11:29:56,2.53080000000000000000
2016-07,11:29:57,2.68930000000000000000
2016-07,11:29:58,2.75580000000000000000
2016-07,11:29:59,2.90450000000000000000
2016-07,11:30:00,3.05060000000000000000
2016-08,11:29:00,0.00240000000000000000
2016-08,11:29:01,0.02160000000000000000
2016-08,11:29:02,0.02980000000000000000
2016-08,11:29:03,0.03640000000000000000
2016-08,11:29:04,0.04410000000000000000
2016-08,11:29:05,0.04360000000000000000
2016-08,11:29:06,0.07780000000000000000
2016-08,11:29:07,0.09480000000000000000
2016-08,11:29:08,0.13100000000000000000
2016-08,11:29:09,0.19640000000000000000
2016-08,11:29:10,0.23200000000000000000
2016-08,11:29:11,0.28960000000000000000
2016-08,11:29:12,0.33960000000000000000
2016-08,11:29:13,0.35680000000000000000
2016-08,11:29:14,0.37560000000000000000
2016-08,11:29:15,0.40490000000000000000
2016-08,11:29:16,0.42480000000000000000
2016-08,11:29:17,0.46450000000000000000
2016-08,11:29:18,0.49310000000000000000
2016-08,11:29:19,0.51290000000000000000
2016-08,11:29:20,0.53430000000000000000
2016-08,11:29:21,0.57170000000000000000
2016-08,11:29:22,0.58230000000000000000
2016-08,11:29:23,0.59330000000000000000
2016-08,11:29:24,0.62150000000000000000
2016-08,11:29:25,0.66130000000000000000
2016-08,11:29:26,0.67780000000000000000
2016-08,11:29:27,0.69740000000000000000
2016-08,11:29:28,0.72060000000000000000
2016-08,11:29:29,0.73460000000000000000
2016-08,11:29:30,0.77630000000000000000
2016-08,11:29:31,0.79810000000000000000
2016-08,11:29:32,0.82330000000000000000
2016-08,11:29:33,0.84340000000000000000
2016-08,11:29:34,0.87430000000000000000
2016-08,11:29:35,0.92690000000000000000
2016-08,11:29:36,0.95820000000000000000
2016-08,11:29:37,0.98150000000000000000
2016-08,11:29:38,0.99660000000000000000
2016-08,11:29:39,1.03430000000000000000
2016-08,11:29:40,1.07660000000000000000
2016-08,11:29:41,1.11290000000000000000
2016-08,11:29:42,1.17030000000000000000
2016-08,11:29:43,1.28530000000000000000
2016-08,11:29:44,1.39550000000000000000
2016-08,11:29:45,1.45400000000000000000
2016-08,11:29:46,1.58020000000000000000
2016-08,11:29:47,1.64950000000000000000
2016-08,11:29:48,1.75250000000000000000
2016-08,11:29:49,1.79100000000000000000
2016-08,11:29:50,1.92840000000000000000
2016-08,11:29:51,1.99380000000000000000
2016-08,11:29:52,2.05590000000000000000
2016-08,11:29:53,2.16360000000000000000
2016-08,11:29:54,2.28080000000000000000
2016-08,11:29:55,2.39900000000000000000
2016-08,11:29:56,2.53080000000000000000
2016-08,11:29:57,2.68930000000000000000
2016-08,11:29:58,2.75580000000000000000
2016-08,11:29:59,2.90450000000000000000
2016-08,11:30:00,3.05060000000000000000
2016-09,11:29:00,0.00240000000000000000
2016-09,11:29:01,0.02160000000000000000
2016-09,11:29:02,0.02980000000000000000
2016-09,11:29:03,0.03640000000000000000
2016-09,11:29:04,0.04410000000000000000
2016-09,11:29:05,0.04360000000000000000
2016-09,11:29:06,0.07780000000000000000
2016-09,11:29:07,0.09480000000000000000
2016-09,11:29:08,0.13100000000000000000
2016-09,11:29:09,0.19640000000000000000
2016-09,11:29:10,0.23200000000000000000
2016-09,11:29:11,0.28960000000000000000
2016-09,11:29:12,0.33960000000000000000
2016-09,11:29:13,0.35680000000000000000
2016-09,11:29:14,0.37560000000000000000
2016-09,11:29:15,0.40490000000000000000
2016-09,11:29:16,0.42480000000000000000
2016-09,11:29:17,0.46450000000000000000
2016-09,11:29:18,0.49310000000000000000
2016-09,11:29:19,0.51290000000000000000
2016-09,11:29:20,0.53430000000000000000
2016-09,11:29:21,0.57170000000000000000
2016-09,11:29:22,0.58230000000000000000
2016-09,11:29:23,0.59330000000000000000
2016-09,11:29:24,0.62150000000000000000
2016-09,11:29:25,0.66130000000000000000
2016-09,11:29:26,0.67780000000000000000
2016-09,11:29:27,0.69740000000000000000
2016-09,11:29:28,0.72060000000000000000
2016-09,11:29:29,0.73460000000000000000
2016-09,11:29:30,0.77630000000000000000
2016-09,11:29:31,0.79810000000000000000
2016-09,11:29:32,0.82330000000000000000
2016-09,11:29:33,0.84340000000000000000
2016-09,11:29:34,0.87430000000000000000
2016-09,11:29:35,0.92690000000000000000
2016-09,11:29:36,0.95820000000000000000
2016-09,11:29:37,0.98150000000000000000
2016-09,11:29:38,0.99660000000000000000
2016-09,11:29:39,1.03430000000000000000
2016-09,11:29:40,1.07660000000000000000
2016-09,11:29:41,1.11290000000000000000
2016-09,11:29:42,1.17030000000000000000
2016-09,11:29:43,1.28530000000000000000
2016-09,11:29:44,1.39550000000000000000
2016-09,11:29:45,1.45400000000000000000
2016-09,11:29:46,1.58020000000000000000
2016-09,11:29:47,1.64950000000000000000
2016-09,11:29:48,1.75250000000000000000
2016-09,11:29:49,1.79100000000000000000
2016-09,11:29:50,1.92840000000000000000
2016-09,11:29:51,1.99380000000000000000
2016-09,11:29:52,2.05590000000000000000
2016-09,11:29:53,2.16360000000000000000
2016-09,11:29:54,2.28080000000000000000
2016-09,11:29:55,2.39900000000000000000
2016-09,11:29:56,2.53080000000000000000
2016-09,11:29:57,2.68930000000000000000
2016-09,11:29:58,2.75580000000000000000
2016-09,11:29:59,2.90450000000000000000
2016-09,11:30:00,3.05060000000000000000
2016-10,11:29:00,0.00240000000000000000
2016-10,11:29:01,0.02160000000000000000
2016-10,11:29:02,0.02980000000000000000
2016-10,11:29:03,0.03640000000000000000
2016-10,11:29:04,0.04410000000000000000
2016-10,11:29:05,0.04360000000000000000
2016-10,11:29:06,0.07780000000000000000
2016-10,11:29:07,0.09480000000000000000
2016-10,11:29:08,0.13100000000000000000
2016-10,11:29:09,0.19640000000000000000
2016-10,11:29:10,0.23200000000000000000
2016-10,11:29:11,0.28960000000000000000
2016-10,11:29:12,0.33960000000000000000
2016-10,11:29:13,0.35680000000000000000
2016-10,11:29:14,0.37560000000000000000
2016-10,11:29:15,0.40490000000000000000
2016-10,11:29:16,0.42480000000000000000
2016-10,11:29:17,0.46450000000000000000
2016-10,11:29:18,0.49310000000000000000
2016-10,11:29:19,0.51290000000000000000
2016-10,11:29:20,0.53430000000000000000
2016-10,11:29:21,0.57170000000000000000
2016-10,11:29:22,0.58230000000000000000
2016-10,11:29:23,0.59330000000000000000
2016-10,11:29:24,0.62150000000000000000
2016-10,11:29:25,0.66130000000000000000
2016-10,11:29:26,0.67780000000000000000
2016-10,11:29:27,0.69740000000000000000
2016-10,11:29:28,0.72060000000000000000
2016-10,11:29:29,0.73460000000000000000
2016-10,11:29:30,0.77630000000000000000
2016-10,11:29:31,0.79810000000000000000
2016-10,11:29:32,0.82330000000000000000
2016-10,11:29:33,0.84340000000000000000
2016-10,11:29:34,0.87430000000000000000
2016-10,11:29:35,0.92690000000000000000
2016-10,11:29:36,0.95820000000000000000
2016-10,11:29:37,0.98150000000000000000
2016-10,11:29:38,0.99660000000000000000
2016-10,11:29:39,1.03430000000000000000
2016-10,11:29:40,1.07660000000000000000
2016-10,11:29:41,1.11290000000000000000
2016-10,11:29:42,1.17030000000000000000
2016-10,11:29:43,1.28530000000000000000
2016-10,11:29:44,1.39550000000000000000
2016-10,11:29:45,1.45400000000000000000
2016-10,11:29:46,1.58020000000000000000
2016-10,11:29:47,1.64950000000000000000
2016-10,11:29:48,1.75250000000000000000
2016-10,11:29:49,1.79100000000000000000
